Year,Mo,Dy,Tsu,Eq,Name,Location,Country,Latitude,Longitude,Elevation (m),Type,VEI,Agent,Deaths,Death Description,Missing,Missing Description,Injuries,Injuries Description,Damage ($Mil),Damage Description,Houses Destroyed,Houses Destroyed Description,Total Deaths,Total Death Description,Total Missing,Total Missing Description,Total Injuries,Total Injuries Description,Total Damage ($Mil),Total Damage Description,Total Houses Destroyed,Total Houses Destroyed Description
1992,1,21,,,Karangetang,Sangihe Is-Indonesia,Indonesia,2781,125407,1797,Stratovolcano,2,M,2,1,,,,,,,,,2,1,,,,,,,,
1992,3,18,,,Dieng Volcanic Complex,Java,Indonesia,-7.2,109879,2565,Complex volcano,,G,1,1,,,2,1,,,,,1,1,,,2,1,,,,
1992,4,10,,,"Negro, Cerro",Nicaragua,Nicaragua,12506,-86702,728,Cinder cone,3,"T,I",11,1,,,50,1,3,2,,1,11,1,,,50,1,3,2,,1
1992,5,11,,,Karangetang,Sangihe Is-Indonesia,Indonesia,2781,125407,1797,Stratovolcano,1,P,6,1,,,1,1,,,,,6,1,,,1,1,,,,
1992,7,5,,,Marapi,Sumatra,Indonesia,-0.38,100474,2885,Complex volcano,2,T,1,1,,,5,1,,,,,1,1,,,5,1,,,,
1992,7,12,,,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,1486,Stratovolcano,1,m,6,1,,,,,,,,,6,1,,,,,,,,
1992,9,17,,,Spurr,Alaska-SW,United States,61299,-152251,3374,Stratovolcano,4,I,1,1,,,,,2,2,,,1,1,,,,,2,2,,
1992,,,,,Semeru,Java,Indonesia,-8108,112922,3657,Stratovolcano,3,T,3,1,,,,,,,,,3,1,,,,,,,,
1993,1,14,,,Galeras,Colombia,Colombia,1.22,-77.37,4276,Complex volcano,2,T,9,1,,,,,,,,,9,1,,,,,,,,
1993,1,21,,,Wurlali,Banda Sea,Indonesia,-7125,128675,868,Stratovolcano,,m,1,1,,,12,1,,,,,1,1,,,12,1,,,,
1993,2,2,,,Mayon,Luzon-Philippines,Philippines,13257,123685,2462,Stratovolcano,2,P,75,2,,,,,,,,,75,2,,,,,,,,
1993,3,12,,,Guagua Pichincha,Ecuador,Ecuador,-171,-78598,4784,Stratovolcano,1,T,2,1,,,,,,,,,2,1,,,,,,,,
1993,4,19,,,Kilauea,Hawaiian Is,United States,19421,-155287,1222,Shield volcano,,A,1,1,,,22,1,,,,,1,1,,,22,1,,,,
1993,6,13,,,Krakatau,Indonesia,Indonesia,-6102,105423,155,Caldera,1,T,1,1,,,5,1,,,,,1,1,,,5,1,,,,
1993,6,23,,,Unzendake,Kyushu-Japan,Japan,32761,130299,1483,Complex volcano,1,P,1,1,,,,,,,,1,1,1,,,,,,,,1
1993,6,26,,,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,1486,Stratovolcano,1,m,4,1,,,,,,,,,4,1,,,,,,,,
1993,10,4,,,Pinatubo,Luzon-Philippines,Philippines,15.13,120.35,1486,Stratovolcano,,m,14,1,,,,,,,,,14,1,,,,,,,,
1994,1,15,,,Yasur,Vanuatu-SW Pacific,Vanuatu,-19532,169447,361,Stratovolcano,3,T,1,1,,,,,,,,,1,1,,,,,,,,
1994,2,3,,,Semeru,Java,Indonesia,-8108,112922,3657,Stratovolcano,3,P,6,1,,,,,,,,,6,1,,,,,,,,
1994,5,29,,,Asosan,Kyushu-Japan,Japan,32884,131104,1592,Caldera,1,G,1,1,,,,,,,,,1,1,,,,,,,,
1994,6,6,,5387,"Huila, Nevado del",Colombia,Colombia,2.93,-76.03,5364,Stratovolcano,,m,,,,,,,,,,,650,3,,,,,2.4,2,200,3
1994,9,19,2229,,Rabaul,New Britain-SW Pac,Papua New Guinea,-4271,152203,688,Pyroclastic shield,3,T,4,1,,,,,86,4,,,4,1,,,,,86,4,,1
1994,11,3,,,Rinjani,Lesser Sunda Is,Indonesia,-8.42,116.47,3726,Stratovolcano,3,m,31,1,,,,,,,,,31,1,,,,,,,,
1994,11,22,,,Merapi,Java,Indonesia,-7.54,110446,2910,Stratovolcano,3,,60,2,,,,,,,,,60,2,,,,,,,,
1995,2,4,,,Yasur,Vanuatu-SW Pacific,Vanuatu,-19532,169447,361,Stratovolcano,3,T,2,1,,,,,,,,,2,1,,,,,,,,
1995,2,11,,,Yakedake,Honshu-Japan,Japan,36227,137587,2455,Stratovolcano,1,T,4,1,,,,,,,,,4,1,,,,,,,,
1995,4,2,,,Fogo,Cape Verde Is,Cape Verde,14.95,-24.35,2829,Stratovolcano,2,,,,,,20,1,,1,10,1,,,,,20,1,,1,10,1
1995,4,7,,,Pacaya,Guatemala,Guatemala,14382,-90601,2569,Complex volcano,3,M,1,1,,,,,,1,1,1,1,1,,,,,,1,1,1
1995,5,15,,,Kelimutu,Lesser Sunda Is,Indonesia,-8.77,121.82,1639,Complex volcano,,,1,1,,,,,,,,,1,1,,,,,,,,
1995,9,6,,,Parker,Mindanao-Philippines,Philippines,6113,124892,1824,Stratovolcano,,,60,2,,,,,,2,300,3,60,2,,,,,,2,300,3
1996,1,2,2392,,Karymsky,Kamchatka,Russia,54049,159443,1513,Stratovolcano,2,,,,,,,,,,,,,,,,,,,,,
1996,4,30,,,Popocatepetl,Mexico,Mexico,19023,-98622,5393,Stratovolcano,3,,5,1,,,,,,1,,,5,1,,,,,,1,,
1996,8,10,,,Kanlaon,Philippines-C,Philippines,10412,123132,2435,Stratovolcano,2,T,3,1,,,18,1,,,,,3,1,,,18,1,,,,
1996,9,4,2265,6499,Sumisujima,Izu Is-Japan,Japan,31.44,140051,136,Submarine volcano,,"S,W",,,,,,,,,,,,,,,,,,,,
1996,9,27,,,Maderas,Nicaragua,Nicaragua,11446,-85515,1394,Stratovolcano,,m,6,1,,,,1,,,,,6,1,,,,1,,,,
1996,9,30,,,Grimsvotn,Iceland-NE,Iceland,64416,-17316,1719,Caldera,3,,,,,,,,,1,,,,,,,,,,1,,
1996,12,3,,,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145037,1807,Stratovolcano,3,P,13,1,,,29,1,,,,,13,1,,,29,1,,,,
1997,1,14,,,Merapi,Java,Indonesia,-7.54,110446,2910,Stratovolcano,2,,6,1,,,,1,,,,,6,1,,,,1,,,,
1997,4,17,,,Karangetang,Sangihe Is-Indonesia,Indonesia,2781,125407,1797,Stratovolcano,1,P,3,1,,,,,,,,,3,1,,,,,,,,
1997,6,25,,,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,915,Stratovolcano,3,P,22,1,1,,,,,,,,22,1,,,,,,,,
1997,7,12,,,Hakkodasan,Honshu-Japan,Japan,40659,140877,1585,Stratovolcano,,G,3,1,,,,,,,,,3,1,,,,,,,,
1997,8,1,,,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,915,Stratovolcano,3,,2,1,,,,,,,,,2,1,,,,,,,,
1997,9,2,,,Semeru,Java,Indonesia,-8108,112922,3657,Stratovolcano,3,T,2,1,,,,,,,,,2,1,,,,,,,,
1997,9,15,,,Adatarayama,Honshu-Japan,Japan,37647,140281,1728,Stratovolcano,,G,4,1,,,,,,,,,4,1,,,,,,,,
1997,11,23,,,Asosan,Kyushu-Japan,Japan,32884,131104,1592,Caldera,,G,2,1,,,,,,,,,2,1,,,,,,,,
1997,12,26,2279,,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,915,Stratovolcano,,,,,,,,,,,,,,,,,,,,,,
1998,4,28,,,Kilauea,Hawaiian Is,United States,19421,-155287,1222,Shield volcano,,L,1,1,,,,,,,,,,,,,,,,,,
1998,7,,,,Kelud,Java,Indonesia,-7935,112314,1730,Stratovolcano,,m,10,1,,,,,,,,,10,1,,,,,,,,
1998,10,30,,,San Cristobal,Nicaragua,Nicaragua,12702,-87004,1745,Stratovolcano,,m,1620,4,,,,,,,,,1620,4,,,,,,,,
1999,1,20,2880,,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,915,Stratovolcano,3,,,,,,,,,,,,,,,,,,,,,
1999,5,21,,,Fuego,Guatemala,Guatemala,14473,-90.88,3763,Stratovolcano,2,,,,,,,,,,,,,,,,,,,,,
1999,8,15,,,Sheveluch,Kamchatka,Russia,56653,161.36,3283,Stratovolcano,4,,,,,,,,,1,,,,,,,,,,,,
1999,10,5,,,Guagua Pichincha,Ecuador,Ecuador,-171,-78598,4784,Stratovolcano,3,T,2,1,,,,,,,,,2,1,,,,,,,,
1999,10,16,,,Tungurahua,Ecuador,Ecuador,-1467,-78442,5023,Stratovolcano,3,T,1,1,,,4,1,,,,,1,1,,,4,1,,,,
2000,6,27,2340,5568,Miyakejima,Izu Is-Japan,Japan,34094,139526,775,Stratovolcano,2,,,,,,,,,1,,,1,1,,,,3,,1,,
2000,7,27,,,Semeru,Java,Indonesia,-8108,112922,3657,Stratovolcano,3,T,2,1,,,,,,,,,2,1,,,,,,,,
2000,8,23,,,Arenal,Costa Rica,Costa Rica,10463,-84703,1670,Stratovolcano,3,P,2,1,,,1,1,,,,,2,1,,,1,1,,,,
2000,11,3,,,Kilauea,Hawaiian Is,United States,19421,-155287,1222,Shield volcano,,G,2,1,,,,,,,,,2,1,,,,,,,,
2000,11,,,,Merapi,Java,Indonesia,-7.54,110446,2910,Stratovolcano,2,A,1,1,,,,,,,,,1,1,,,,,,,,
2001,5,14,,,Etna,Italy,Italy,37748,14999,3357,Stratovolcano,3,,1,1,,,,,,1,,,1,1,,,,,,1,,
2001,7,26,,,Etna,Italy,Italy,37748,14999,3357,Stratovolcano,2,,,,,,,,,1,,1,,,,,,,,1,,1
2001,8,5,,,Merapi,Java,Indonesia,-7.54,110446,2910,Stratovolcano,2,P,2,1,,,,,,,,,2,1,,,,,,,,
2001,10,20,,,Stromboli,Italy,Italy,38789,15213,924,Stratovolcano,2,T,1,1,,,,,,,,,1,1,,,,,,,,
2002,1,3,,,Karangetang,Sangihe Is-Indonesia,Indonesia,2781,125407,1797,Stratovolcano,3,M,,,,,,,,1,,1,,,,,,,,1,,1
2002,1,17,,,Nyiragongo,Africa-C,"Congo, DRC",-1.52,29.25,3470,Stratovolcano,1,,100,2,,,400,3,,3,,3,100,2,,,,3,,3,,3
2002,8,28,,5659,Etna,Italy,Italy,37748,14999,3357,Stratovolcano,3,,,,,,32,1,,2,,2,,,,,32,1,,2,,2
2002,11,3,,,Reventador,Ecuador,Ecuador,-77,-77656,3562,Stratovolcano,4,I,,1,,,,1,,1,,1,,1,,,,1,,1,,1
2002,12,30,2923,,Stromboli,Italy,Italy,38789,15213,924,Stratovolcano,,,,,,,,1,,1,,1,,,,,,1,,1,,1
2002,,,,,Semeru,Java,Indonesia,-8108,112922,3657,Stratovolcano,3,T,3,1,,,,,,,,,3,1,,,,,,,,
2003,7,12,2694,,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,915,Stratovolcano,3,,,,,,,,,,,,,,,,,,,,,
2004,1,29,,,Egon,Lesser Sunda Is,Indonesia,-8676,122455,1661,Stratovolcano,1,T,1,1,,,,,,,,,1,1,,,,,,,,
2004,6,8,,,Tengger Caldera,Java,Indonesia,-7942,112.95,2329,Stratovolcano,2,T,2,1,,,5,1,,,,,,,,,,,,,,
2004,10,24,,,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145037,1807,Stratovolcano,4,T,5,1,,,,,,,,,5,1,,,,,,,,
2005,1,27,,,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145037,1807,Stratovolcano,4,T,1,1,,,14,1,,,,,1,1,,,14,1,,,,
2005,10,1,,,Santa Ana,El Salvador,El Salvador,13853,-89.63,2381,Stratovolcano,3,A,2,1,,,,1,,,,,2,1,,,,1,,,,
2005,11,24,,,Karthala,Indian O-W,Comoros,-11.75,43.38,2361,Shield volcano,,,,1,,,,,,1,,,,1,,,,,,1,,
2006,1,1,5795,10555,Sumisujima,Izu Is-Japan,Japan,31.44,140051,136,Submarine volcano,,"S,W",,,,,,,,,,,,,,,,,,,,
2006,3,17,,,Raoul Island,Kermadec Is,New Zealand,-29.27,-177.92,516,Stratovolcano,,,1,1,,,,,,,,,1,1,,,,,,,,
2006,5,20,2877,,Soufriere Hills,W Indies,Montserrat,16.72,-62.18,915,Stratovolcano,2,P,,,,,,,,,,,,,,,,,,,,
2006,6,7,,,Bulusan,Luzon-Philippines,Philippines,12769,124056,1535,Stratovolcano,2,,1,1,,,,,,,,,1,1,,,,,,,,
2006,6,14,,,Merapi,Java,Indonesia,-7.54,110446,2910,Stratovolcano,1,,2,1,,,,,,,,,2,1,,,,,,,,
2006,7,18,,,Tungurahua,Ecuador,Ecuador,-1467,-78442,5023,Stratovolcano,3,,1,1,,,,,,,,,1,1,,,,,,,,
2006,8,17,,,Tungurahua,Ecuador,Ecuador,-1467,-78442,5023,Stratovolcano,3,T,5,1,,2,13,1,,3,,3,6,1,,2,,2,,3,,3
2006,11,30,,,Mayon,Luzon-Philippines,Philippines,13257,123685,2462,Stratovolcano,1,m,1266,4,,,,,,1,,,1266,4,,,,,,1,,
2007,3,,,,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145037,1807,Stratovolcano,4,M,4,1,,,1,1,,,,,4,1,,,1,1,,,,
2007,4,18,,,"Huila, Nevado del",Colombia,Colombia,2.93,-76.03,5364,Stratovolcano,,,,,,,,,,2,,1,,,,,,,,2,,1
2007,5,19,5758,,Ritter Island,New Guinea-NE of,Papua New Guinea,-5519,148115,75,Stratovolcano,1,"A,W",,,,,,,,1,,1,,,,,,,,1,,1
2007,7,7,,,Salak,Java,Indonesia,-6716,106733,2218,Stratovolcano,,G,6,1,,,,,,,,,6,1,,,,,,,,
2007,9,30,,,"Tair, Jebel at",Red Sea,Yemen,15.55,41.83,244,Stratovolcano,,,7,1,,,1,1,,,,,7,1,,,,1,,,,
2008,5,2,,,Chaiten,Chile-S,Chile,-42833,-72646,1122,Caldera,,,1,1,,,,,,,,,1,1,,,,,,,,
2008,8,8,3587,,Kasatochi,Aleutian Is,United States,52177,-175508,314,Stratovolcano,3,,,,,,,,,,,,,,,,,,,,,
2008,8,22,,,Tungurahua,Ecuador,Ecuador,-1467,-78442,5023,Stratovolcano,3,M,2,1,,,2,1,,1,2,1,2,1,,,2,1,,1,2,1
2008,11,20,,,"Huila, Nevado del",Colombia,Colombia,2.93,-76.03,5364,Stratovolcano,,,10,1,,1,,1,,,,,10,1,,1,,1,,,,
2009,3,23,,,Redoubt,Alaska-SW,United States,60485,-152742,3108,Stratovolcano,,,,,,,,,,1,,,,,,,,,,1,,
2009,11,30,,,Kilauea,Hawaiian Is,United States,19421,-155287,1222,Shield volcano,,,,,,,,,,2,,,,,,,,,,2,,
2010,1,,,,Tungurahua,Ecuador,Ecuador,-1467,-78442,5023,Stratovolcano,3,,,,,,,,,1,,,,,,,,,,1,,
2010,3,31,,,Eyjafjallajokull,Iceland-S,Iceland,63633,-19633,1651,Stratovolcano,2,,2,1,,,,,,,,,2,1,,,,,,,,
2010,5,27,,,Pacaya,Guatemala,Guatemala,14382,-90601,2569,Complex volcano,1,T,1,1,3,1,,,,1,3,1,1,1,3,1,,,,1,3,1
2010,5,29,4822,9172,Zealandia Bank,Mariana Is-C Pacific,United States,16.88,145.85,0,Stratovolcano,,,,,,,,,,,,,,,,,,,,,,
2010,8,6,,,Karangetang,Sangihe Is-Indonesia,Indonesia,2781,125407,1797,Stratovolcano,3,,4,1,,,5,1,,,,1,4,1,,,5,1,,,,1
2010,8,30,,,Sinabung,Sumatra,Indonesia,3.17,98392,2460,Stratovolcano,,,2,1,,,,,,,,,2,1,,,,,,,,
2010,10,26,,,Merapi,Java,Indonesia,-7.54,110446,2910,Stratovolcano,,,367,3,,,277,3,600,4,,3,367,3,,,277,3,600,4,,3
2010,11,,,,Tungurahua,Ecuador,Ecuador,-1467,-78442,5023,Stratovolcano,3,,,,,,,,,1,,,,,,,,,,1,,
2010,12,28,,,Tengger Caldera,Java,Indonesia,-7942,112.95,2329,Stratovolcano,,,,,,,,,,1,,,,,,,,,,,,
2011,1,3,,,Merapi,Java,Indonesia,-7.54,110446,2910,Stratovolcano,,M,1,1,,,1,1,,1,,,1,1,,,1,1,,1,,
2011,1,28,,,Kirishimayama,Kyushu-Japan,Japan,31934,130862,1700,Shield volcano,,,,,,,,1,,1,,,,,,,,1,,1,,
2011,2,23,,,Bulusan,Luzon-Philippines,Philippines,12769,124056,1535,Stratovolcano,2,,1,1,,,,,,,,,1,1,,,,,,,,
2011,3,18,,,Karangetang,Sangihe Is-Indonesia,Indonesia,2781,125407,1797,Stratovolcano,,,,,,,,,,1,,,,,,,,,,1,,
2011,4,,,,Tungurahua,Ecuador,Ecuador,-1467,-78442,5023,Stratovolcano,4,,,,,,,,,1,,,,,,,,,,1,,
2011,6,4,,,Puyehue-Cordon Caulle,Chile-C,Chile,-40.59,-72117,2236,Stratovolcano,4,,,,,,,,,2,,,,,,,,,,2,,
2011,6,22,,,Nabro,Africa-NE,Eritrea,13.37,41.7,2218,Stratovolcano,4,,31,1,,,,3,,1,,,31,1,,,,3,,1,,
2011,7,9,,,Katla,Iceland-S,Iceland,63633,-19083,1490,Subglacial volcano,,,,,,,,,,1,,,,,,,,,,1,,
2011,7,17,,,Lokon-Empung,Sulawesi-Indonesia,Indonesia,1358,124792,1580,Stratovolcano,,,1,1,,,,,,,,,1,1,,,,,,,,
2011,12,27,,,Gamalama,Halmahera-Indonesia,Indonesia,0.8,127.33,1715,Stratovolcano,3,m,4,1,,,,1,,,,,4,1,,,,1,,,,
2012,2,10,,,Kilauea,Hawaiian Is,United States,19421,-155287,1222,Shield volcano,,,,,,,,,,2,,,,,,,,,,2,,
2012,3,2,,,Kilauea,Hawaiian Is,United States,19421,-155287,1222,Shield volcano,,L,,,,,,,,1,1,1,,,,,,,,,,
2012,12,12,,,Tolbachik,Kamchatka,Russia,55832,160326,3611,Shield volcano,,,,,,,,,,1,,,,,,,,,,1,,
2013,2,12,,,Merapi,Java,Indonesia,-7.54,110446,2910,Stratovolcano,,M,1,1,,,1,1,,1,,,1,1,,,1,1,,1,,
2013,2,,,,Paluweh,Lesser Sunda Is,Indonesia,-8.32,121708,875,Stratovolcano,,,,,,,,,,1,,1,,,,,,,,1,,1
2013,5,7,,,Mayon,Luzon-Philippines,Philippines,13257,123685,2462,Stratovolcano,,,5,1,,,8,1,,,,,5,1,,,8,1,,,,
2013,8,10,,,Paluweh,Lesser Sunda Is,Indonesia,-8.32,121708,875,Stratovolcano,3,,5,1,,,,,,,,,5,1,,,,,,,,
2013,9,1,,,Ubinas,Peru,Peru,-16355,-70903,5672,Stratovolcano,,,,,,,,,,1,,,,,,,,,,1,,
2013,9,4,,,Aira,Kyushu-Japan,Japan,31593,130657,1117,Stratovolcano,,,,,,,,,,1,,,,,,,,,,1,,
2013,9,15,,,Sinabung,Sumatra,Indonesia,3.17,98392,2460,Stratovolcano,2,,,,,,,,,2,,,,,,,,,,2,,
2013,12,13,,,Okataina,New Zealand,New Zealand,-38.12,176.5,1111,Lava dome,,G,1,1,,,,,,,,,1,1,,,,,,,,
2014,2,1,,,Sinabung,Sumatra,Indonesia,3.17,98392,2460,Stratovolcano,,,17,1,,,3,1,,1,,2,17,1,,,3,1,,1,,2
2014,2,13,,,Kelud,Java,Indonesia,-7935,112314,1730,Stratovolcano,,,7,1,,,,,,3,4098,4,7,1,,,,,,3,4098,4
2014,9,27,,,Ontakesan,Honshu-Japan,Japan,35893,137.48,3067,Complex volcano,3,,55,2,,,70,2,,,,,55,2,,,70,2,,,,
2014,11,10,,,Kilauea,Hawaiian Is,United States,19421,-155287,1222,Shield volcano,,,,,,,,,14.5,3,1,1,,,,,,,14.5,3,1,1
2014,11,23,,,Fogo,Cape Verde Is,Cape Verde,14.95,-24.35,2829,Stratovolcano,,,,,,,,,,2,230,3,,,,,,,,2,230,3
2014,12,18,,,Gamalama,Halmahera-Indonesia,Indonesia,0.8,127.33,1715,Stratovolcano,,,1,1,,,4,1,,,,,1,1,,,4,1,,,,
2015,2,20,,,Sinabung,Sumatra,Indonesia,3.17,98392,2460,Stratovolcano,,,,,,,,,,1,,1,,,,,,,,1,,1
2015,4,22,,,Calbuco,Chile-S,Chile,-41.33,-72618,1974,Stratovolcano,,,,,,,,,,2,,2,,,,,,,,2,,2
2015,5,2,5584,10140,Sumisujima,Izu Is-Japan,Japan,31.44,140051,136,Submarine volcano,,"S,W",,,,,,,,,,,,,,,,,,,,
2015,5,7,,,Karangetang,Sangihe Is-Indonesia,Indonesia,2781,125407,1797,Stratovolcano,,,,,,,,,,1,,1,,,,,,,,1,,1
2015,7,31,,,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145037,1807,Stratovolcano,2,,,,,,2,1,,1,,,,,,,2,1,,1,,
2015,10,16,,,Sinabung,Sumatra,Indonesia,3.17,98392,2460,Stratovolcano,,M,1,1,,,,,,1,,,1,1,,,,,,1,,
2015,10,,,,Okataina,New Zealand,New Zealand,-38.12,176.5,1111,Lava dome,,I,1,1,,,,,,,,,1,1,,,,,,,,
2016,5,9,,,Sinabung,Sumatra,Indonesia,3.17,98392,2460,Stratovolcano,,,1,1,,,4,1,,1,3,1,1,1,,,4,1,,1,,
2016,5,21,,,Sinabung,Sumatra,Indonesia,3.17,98392,2460,Stratovolcano,,,7,1,,,3,1,100,4,,,7,1,,,3,1,100,4,,
2016,6,9,,,Yellowstone,US-Wyoming,United States,44.43,-110.67,2805,Caldera,,,1,1,,,,,,,,,1,1,,,,,,,,
2016,9,27,,,Rinjani,Lesser Sunda Is,Indonesia,-8.42,116.47,3726,Stratovolcano,,,,,44,1,,,,,,,,,44,1,,,,,,
2016,10,8,,,Asosan,Kyushu-Japan,Japan,32884,131104,1592,Caldera,,T,,,,,,,,1,,,,,,,,,,1,,
2017,3,15,,,Etna,Italy,Italy,37748,14999,3357,Stratovolcano,,P,,,,,10,1,,,,,,,,,10,1,,,,
2017,4,13,,,Sinabung,Sumatra,Indonesia,3.17,98392,2460,Stratovolcano,2,P,,,,,,,,1,,2,,,,,,,,1,,2
2017,6,6,,,Fuego,Guatemala,Guatemala,14473,-90.88,3763,Stratovolcano,2,P,,,,,,,,2,,,,,,,,,,2,,
2017,7,1,,,Dieng Volcanic Complex,Java,Indonesia,-7.2,109879,2565,Complex volcano,,,8,1,,,11,1,,,,,8,1,,,11,1,,,,
2017,9,12,,,Campi Flegrei,Italy,Italy,40827,14139,458,Caldera,,,3,1,,,,,,,,,3,1,,,,,,,,
2017,9,23,,,Ambae,Vanuatu-SW Pacific,Vanuatu,-15389,167835,1496,Shield volcano,,T,,,,,,,,1,,,,,,,,,,1,,
2017,12,18,,,Merapi,Java,Indonesia,-7.54,110446,2910,Stratovolcano,,A,8,1,,,8,1,,,,,8,1,,,8,1,,,,
2017,12,27,,,Sinabung,Sumatra,Indonesia,3.17,98392,2460,Stratovolcano,,T,,,,,,,,2,,,,,,,,,,2,,
2018,1,5,,,Kadovar,New Guinea-NE of,Papua New Guinea,-3608,144588,365,Stratovolcano,,T,,,,,,,,1,,,,,,,,,,1,,
2018,1,13,,,Mayon,Luzon-Philippines,Philippines,13257,123685,2462,Stratovolcano,,"T,P",,,,,1972,4,3564,2,,,,,,,1972,4,3564,2,,
2018,1,23,,,Kusatsu-Shiranesan,Honshu-Japan,Japan,36618,138528,2165,Stratovolcano,,T,1,1,,,11,1,,1,,,1,1,,,11,1,,1,,
2018,2,1,,,Kilauea,Hawaiian Is,United States,19421,-155287,1222,Shield volcano,1,G,1,1,,,3,1,,,,,1,1,,,3,1,,,,
2018,2,9,5676,,Kadovar,New Guinea-NE of,Papua New Guinea,-3608,144588,365,Stratovolcano,,W,,,,,,,,,,,,,,,,,,,,
2018,3,21,,,Ijen,Java,Indonesia,-8058,114242,2769,Stratovolcano,,G,,,,,30,1,,,,,,,,,30,1,,,,
2018,3,30,,,Ambae,Vanuatu-SW Pacific,Vanuatu,-15389,167835,1496,Shield volcano,3,"T,G,M",4,1,,,,,,2,,1,4,1,,,,,,2,,1
2018,4,28,5678,10332,Kilauea,Hawaiian Is,United States,19421,-155287,1222,Shield volcano,1,L,,,,,1,1,370,4,716,3,,,,,1,1,370,4,716,3
2018,5,6,5796,10556,Sumisujima,Izu Is-Japan,Japan,31.44,140051,136,Submarine volcano,,"S,W",,,,,,,,,,,,,,,,,,,,
2018,6,3,,,Fuego,Guatemala,Guatemala,14473,-90.88,3763,Stratovolcano,2,P,201,3,229,3,27,1,120,4,186,3,201,3,229,3,27,1,120,4,186,3
2018,7,16,,,Kilauea,Hawaiian Is,United States,19421,-155287,1222,Shield volcano,,T,,,,,23,1,1,1,,,,,,,23,1,1,1,,
2018,8,25,,,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145037,1807,Stratovolcano,4,"L,T",,,,,,,,3,164,3,,,,,,,,3,164,3
2018,12,15,,10382,Ambrym,Vanuatu-SW Pacific,Vanuatu,-16.25,168.12,1334,Pyroclastic shield,2,"S,T,G",,,,,,,,2,,1,,,,,,,,2,,1
2018,12,22,5699,,Krakatau,Indonesia,Indonesia,-6102,105423,155,Caldera,3,W,,,,,,,,,,,437,3,10,1,31943,4,250,4,2844,4
2018,12,26,,10383,Etna,Italy,Italy,37748,14999,3357,Stratovolcano,2,S,,,,,,,,,,,,,,,28,1,115,4,15,1
2019,1,7,,,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145037,1807,Stratovolcano,4,T,,,,,,,,1,,,,,,,,,,1,,
2019,5,7,,,Sinabung,Sumatra,Indonesia,3.17,98392,2460,Stratovolcano,,T,,,,,,,,2,,,,,,,,,,2,,
2019,6,26,,,Ulawun,New Britain-SW Pac,Papua New Guinea,-5.05,151.33,2334,Stratovolcano,,"P,T",,,,,2,1,14,3,,,,,,,2,1,14,3,,
2019,6,28,,,Manam,New Guinea-NE of,Papua New Guinea,-4.08,145037,1807,Stratovolcano,4,"A,P,T",,,,,,,,2,,,,,,,,,,2,,
2019,7,3,,,Stromboli,Italy,Italy,38789,15213,924,Stratovolcano,2,"P,T",1,1,,,1,1,,,,,1,1,,,1,1,,,,
2019,8,28,5716,,Stromboli,Italy,Italy,38789,15213,924,Stratovolcano,2,W,,,,,,,,,,,,,,,,,,,,
2019,12,9,,,Whakaari/White Island,New Zealand,New Zealand,-37.52,177.18,294,Stratovolcano,2,T,22,1,,,25,1,,,,,22,1,,,25,1,,,,
2020,1,12,,,Taal,Luzon-Philippines,Philippines,14002,120993,311,Stratovolcano,4,T,39,1,,,,,67,4,4573,4,39,1,,,,,67,4,4573,4
2020,5,29,5748,10501,Ijen,Java,Indonesia,-8058,114242,2769,Stratovolcano,,"G,W, S",1,1,,,,,,,,,1,1,,,,,,,,
