CRIM,ZN,INDUS,CHAS,NOX,RM,DIS,TAX,PTRATIO,LSTAT,age_category,rad_category
,0.0,9.9,0.0,0.544,5.914,3.9986,304.0,18.4,18.33,old,low
0.24522,0.0,9.9,0.0,0.544,5.782,4.0317,304.0,18.4,15.94,old,low
0.40202,0.0,9.9,0.0,0.544,6.382,3.5325,304.0,18.4,10.36,old,low
,0.0,9.9,0.0,0.544,6.113,4.0019,304.0,18.4,12.73,middle-aged,low
0.1676,0.0,7.38,0.0,0.493,6.426,4.5404,287.0,,7.2,middle-aged,medium
0.18159,0.0,,0.0,0.493,6.376,4.5404,287.0,19.6,6.87,middle-aged,medium
0.35114,0.0,7.38,0.0,0.493,,4.7211,287.0,19.6,7.7,middle-aged,medium
,0.0,7.38,0.0,0.493,5.708,,287.0,19.6,11.74,old,medium
0.34109,0.0,7.38,0.0,0.493,6.415,,287.0,19.6,,middle-aged,medium
0.19186,0.0,7.38,,0.493,6.431,5.4159,287.0,,,young,medium
0.30347,,7.38,0.0,0.493,6.312,5.4159,287.0,19.6,6.15,,medium
0.24103,0.0,7.38,0.0,0.493,6.083,5.4159,287.0,19.6,12.79,middle-aged,medium
0.06617,0.0,3.24,0.0,0.46,5.868,5.2146,430.0,16.9,9.97,young,low
0.06724,0.0,3.24,0.0,0.46,6.333,5.2146,430.0,16.9,7.34,,low
,0.0,3.24,0.0,0.46,6.144,,,16.9,9.09,middle-aged,low
0.05023,35.0,6.06,0.0,0.4379,5.706,6.6407,304.0,16.9,12.43,young,low
0.03466,35.0,6.06,0.0,0.4379,6.031,6.6407,304.0,,7.83,young,low
0.05083,0.0,5.19,0.0,,6.316,6.4584,224.0,20.2,5.68,middle-aged,
0.03738,0.0,5.19,0.0,0.515,6.31,6.4584,224.0,20.2,6.75,middle-aged,medium
0.03961,0.0,5.19,,0.515,6.037,5.9853,224.0,20.2,,middle-aged,medium
0.03427,0.0,5.19,0.0,,,5.2311,,20.2,9.8,middle-aged,
0.03041,0.0,5.19,0.0,0.515,5.895,5.615,224.0,20.2,10.56,middle-aged,
0.03306,0.0,5.19,,0.515,6.059,4.8122,224.0,20.2,,middle-aged,medium
0.05497,0.0,5.19,0.0,0.515,5.985,4.8122,224.0,20.2,9.74,middle-aged,medium
0.06151,0.0,5.19,0.0,0.515,5.968,4.8122,224.0,20.2,9.29,middle-aged,medium
0.01301,35.0,,0.0,0.442,7.241,7.0379,284.0,15.5,,middle-aged,low
0.02498,0.0,1.89,0.0,0.518,6.54,,422.0,15.9,8.65,middle-aged,low
0.02543,55.0,3.78,0.0,0.484,6.696,5.7321,370.0,17.6,7.18,middle-aged,medium
0.03049,55.0,3.78,0.0,0.484,6.874,6.4654,370.0,,4.61,young,medium
0.03113,0.0,4.39,0.0,0.442,6.014,8.0136,352.0,18.8,10.53,middle-aged,low
0.06162,0.0,4.39,,0.442,5.898,8.0136,,18.8,12.67,middle-aged,low
0.0187,85.0,4.15,0.0,0.429,6.516,8.5353,351.0,17.9,6.36,young,low
0.01501,80.0,2.01,0.0,0.435,6.635,,280.0,17.0,5.99,young,low
0.02899,40.0,1.25,0.0,0.429,6.939,8.7921,335.0,19.7,5.89,middle-aged,low
0.06211,40.0,1.25,0.0,0.429,6.49,8.7921,335.0,19.7,5.98,middle-aged,low
0.0795,60.0,1.69,0.0,0.411,6.579,10.7103,411.0,,5.49,middle-aged,low
0.07244,60.0,1.69,0.0,0.411,5.884,10.7103,411.0,18.3,7.79,young,low
0.01709,90.0,2.02,0.0,0.41,6.728,12.1265,187.0,,4.5,middle-aged,
0.04301,80.0,1.91,0.0,0.413,5.663,10.5857,,22.0,8.05,young,low
0.10659,80.0,1.91,,0.413,5.936,10.5857,,,5.57,young,low
8.98296,0.0,18.1,1.0,0.77,6.212,2.1222,666.0,20.2,17.6,old,high
3.8497,0.0,18.1,1.0,0.77,,,,20.2,13.27,old,high
5.20177,0.0,18.1,1.0,0.77,6.127,2.7227,666.0,20.2,11.48,old,high
4.26131,0.0,18.1,0.0,0.77,6.112,2.5091,666.0,20.2,12.67,old,high
,0.0,18.1,0.0,0.77,,2.5182,666.0,,7.79,old,high
3.83684,0.0,18.1,0.0,0.77,6.251,2.2955,666.0,20.2,14.19,old,high
3.67822,0.0,18.1,0.0,0.77,5.362,2.1036,666.0,20.2,10.19,old,high
4.22239,0.0,18.1,1.0,,5.803,1.9047,,20.2,14.64,old,
3.47428,0.0,18.1,1.0,0.718,8.78,1.9047,666.0,20.2,5.29,old,high
4.55587,0.0,,0.0,0.718,3.561,1.6132,666.0,20.2,7.12,old,high
3.69695,0.0,18.1,0.0,0.718,4.963,1.7523,666.0,20.2,,old,high
13.5222,0.0,18.1,0.0,0.631,3.863,1.5106,666.0,20.2,13.33,old,high
4.89822,0.0,18.1,0.0,0.631,4.97,1.3325,,20.2,3.26,old,high
5.66998,0.0,18.1,1.0,0.631,6.683,1.3567,666.0,20.2,3.73,old,high
,0.0,18.1,1.0,0.631,7.016,,666.0,20.2,2.96,old,high
9.2323,0.0,18.1,0.0,0.631,,1.1691,666.0,20.2,9.53,old,high
8.26725,0.0,,1.0,0.668,5.875,1.1296,666.0,20.2,8.88,old,high
11.1081,0.0,18.1,,0.668,4.906,1.1742,666.0,,34.77,old,
18.4982,0.0,18.1,0.0,0.668,4.138,1.137,666.0,20.2,37.97,,high
19.6091,0.0,18.1,0.0,0.671,,1.3163,666.0,20.2,13.44,old,high
15.288,0.0,18.1,0.0,0.671,6.649,1.3449,666.0,20.2,23.24,,high
9.82349,0.0,18.1,0.0,0.671,6.794,1.358,666.0,20.2,21.24,old,high
23.6482,0.0,18.1,0.0,0.671,6.38,1.3861,666.0,20.2,23.69,old,high
17.8667,0.0,18.1,0.0,0.671,6.223,1.3861,666.0,20.2,21.78,old,high
88.9762,0.0,18.1,0.0,0.671,6.968,1.4165,666.0,20.2,17.21,old,high
15.8744,0.0,18.1,0.0,0.671,,1.5192,666.0,20.2,21.08,old,high
9.18702,0.0,18.1,0.0,0.7,5.536,1.5804,666.0,20.2,23.6,old,high
7.99248,0.0,18.1,0.0,0.7,5.52,,666.0,20.2,24.56,old,high
20.0849,0.0,,,0.7,4.368,,666.0,20.2,30.63,old,high
16.8118,0.0,18.1,0.0,0.7,5.277,1.4261,666.0,20.2,30.81,old,high
24.3938,0.0,18.1,0.0,0.7,4.652,1.4672,666.0,20.2,28.28,old,high
22.5971,,18.1,0.0,0.7,5.0,1.5184,,20.2,31.99,old,high
14.3337,0.0,18.1,0.0,0.7,4.88,1.5895,666.0,20.2,30.62,old,high
8.15174,0.0,18.1,0.0,0.7,5.39,1.7281,666.0,20.2,20.85,old,high
6.96215,0.0,18.1,0.0,,5.713,1.9265,666.0,,17.11,old,high
5.29305,0.0,18.1,0.0,0.7,6.051,2.1678,666.0,20.2,18.76,old,high
11.5779,0.0,18.1,0.0,0.7,5.036,,666.0,20.2,25.68,old,high
8.64476,0.0,18.1,0.0,0.693,,,666.0,,15.17,old,high
,0.0,18.1,0.0,0.693,5.887,1.7821,666.0,20.2,,old,high
8.71675,0.0,18.1,0.0,0.693,6.471,1.7257,666.0,20.2,17.12,,high
5.87205,0.0,18.1,0.0,0.693,6.405,1.6768,666.0,20.2,19.37,old,high
7.67202,0.0,18.1,,0.693,5.747,1.6334,666.0,,19.92,old,high
,0.0,18.1,0.0,0.693,5.453,1.4896,666.0,20.2,,old,
9.91655,,,0.0,,5.852,1.5004,666.0,20.2,29.97,old,high
25.0461,,18.1,0.0,0.693,5.987,1.5888,666.0,20.2,26.77,old,high
14.2362,0.0,18.1,0.0,0.693,6.343,1.5741,666.0,,20.32,old,high
9.59571,0.0,18.1,,0.693,6.404,1.639,666.0,20.2,20.31,old,high
,0.0,18.1,,0.693,5.349,1.7028,666.0,20.2,19.77,old,
41.5292,0.0,18.1,0.0,0.693,5.531,1.6074,666.0,20.2,27.38,old,high
67.9208,,18.1,0.0,0.693,5.683,1.4254,666.0,20.2,22.98,old,high
20.7162,0.0,18.1,0.0,0.659,4.138,1.1781,666.0,20.2,,old,high
11.9511,0.0,18.1,0.0,0.659,5.608,1.2852,666.0,20.2,,old,high
7.40389,0.0,18.1,0.0,,5.617,1.4547,666.0,20.2,26.4,old,high
14.4383,,18.1,0.0,,6.852,1.4655,666.0,20.2,19.78,old,high
51.1358,0.0,18.1,0.0,0.597,5.757,1.413,666.0,20.2,10.11,,high
14.0507,0.0,18.1,0.0,0.597,6.657,1.5275,666.0,,21.22,old,high
18.811,0.0,18.1,0.0,0.597,,1.5539,666.0,,34.37,,high
,0.0,18.1,0.0,0.597,5.155,1.5894,666.0,20.2,20.08,old,high
45.7461,0.0,18.1,0.0,0.693,4.519,1.6582,666.0,20.2,36.98,old,high
18.0846,0.0,18.1,0.0,0.679,,1.8347,666.0,20.2,29.05,old,high
,0.0,18.1,0.0,0.679,,1.8195,666.0,20.2,25.79,old,high
25.9406,0.0,18.1,0.0,0.679,5.304,1.6475,666.0,20.2,26.64,old,high
73.5341,0.0,18.1,0.0,0.679,5.957,1.8026,666.0,20.2,20.62,old,high
,0.0,18.1,0.0,0.718,6.824,1.794,666.0,20.2,22.74,old,high
,0.0,18.1,,0.718,6.411,1.8589,666.0,20.2,15.02,old,high
7.02259,0.0,,0.0,0.718,6.006,1.8746,666.0,20.2,15.7,old,high
12.0482,0.0,18.1,0.0,0.614,5.648,1.9512,666.0,20.2,14.1,old,high
7.05042,0.0,18.1,0.0,0.614,6.103,2.0218,666.0,20.2,23.29,old,high
,0.0,18.1,0.0,,5.565,2.0635,666.0,20.2,17.16,old,high
,,18.1,,0.679,5.896,1.9096,666.0,20.2,24.39,old,high
12.2472,0.0,18.1,0.0,0.584,5.837,1.9976,666.0,20.2,,middle-aged,high
37.6619,0.0,18.1,0.0,0.679,6.202,1.8629,666.0,20.2,14.52,old,high
,0.0,18.1,0.0,0.679,6.193,1.9356,666.0,20.2,21.52,old,high
9.33889,0.0,18.1,0.0,0.679,,1.9682,666.0,20.2,24.08,old,
8.49213,0.0,18.1,0.0,0.584,6.348,2.0527,666.0,20.2,17.64,old,high
10.0623,0.0,18.1,0.0,0.584,6.833,2.0882,666.0,20.2,19.69,old,high
6.44405,0.0,18.1,0.0,0.584,6.425,,666.0,20.2,12.03,old,high
5.58107,0.0,18.1,0.0,,6.436,,666.0,20.2,16.22,old,high
13.9134,,18.1,0.0,0.713,6.208,2.2222,666.0,20.2,15.17,old,high
11.1604,0.0,,0.0,0.74,6.629,2.1247,666.0,20.2,23.27,old,high
14.4208,0.0,18.1,0.0,0.74,6.461,2.0026,666.0,20.2,18.05,old,high
,0.0,18.1,0.0,0.74,6.152,1.9142,666.0,20.2,26.45,old,high
,0.0,18.1,0.0,0.74,5.935,1.8206,666.0,20.2,34.02,old,high
,0.0,18.1,0.0,,5.627,1.8172,666.0,20.2,22.88,old,high
22.0511,,18.1,0.0,0.74,5.818,1.8662,666.0,,22.11,old,high
9.72418,0.0,18.1,,0.74,6.406,2.0651,666.0,20.2,19.52,old,high
5.66637,0.0,18.1,0.0,0.74,6.219,2.0048,666.0,20.2,16.59,old,high
9.96654,,18.1,,0.74,6.485,1.9784,666.0,20.2,18.85,old,high
,0.0,18.1,,0.74,5.854,1.8956,666.0,,23.79,old,high
10.6718,0.0,18.1,0.0,,6.459,1.9879,666.0,20.2,23.98,old,high
6.28807,0.0,18.1,0.0,0.74,,2.072,,20.2,17.79,old,high
9.92485,0.0,18.1,0.0,,6.251,2.198,666.0,20.2,16.44,old,high
9.32909,,18.1,0.0,0.713,6.185,,666.0,20.2,18.13,,high
7.52601,0.0,18.1,0.0,0.713,6.417,,666.0,20.2,19.31,old,high
6.71772,0.0,18.1,0.0,0.713,6.749,2.3236,,20.2,17.44,old,
5.44114,0.0,18.1,0.0,0.713,6.655,2.3552,666.0,20.2,17.73,old,high
5.09017,0.0,18.1,0.0,0.713,6.297,2.3682,,20.2,17.27,old,high
8.24809,0.0,18.1,0.0,0.713,7.393,2.4527,666.0,,16.74,,high
,0.0,18.1,0.0,0.713,6.728,,666.0,20.2,18.71,old,high
4.75237,0.0,18.1,0.0,0.713,6.525,2.4358,666.0,20.2,18.13,old,high
4.66883,0.0,18.1,0.0,,5.976,2.5806,666.0,20.2,19.01,old,high
8.20058,0.0,18.1,0.0,0.713,5.936,2.7792,666.0,20.2,16.94,old,high
7.75223,0.0,18.1,0.0,0.713,6.301,2.7831,,20.2,16.23,old,high
6.80117,0.0,18.1,0.0,0.713,6.081,2.7175,666.0,,,old,high
4.81213,0.0,18.1,0.0,0.713,6.701,2.5975,666.0,20.2,,old,high
3.69311,0.0,18.1,0.0,0.713,6.376,2.5671,666.0,20.2,14.65,old,high
6.65492,0.0,18.1,0.0,0.713,6.317,2.7344,666.0,20.2,13.99,old,high
5.82115,0.0,18.1,,0.713,6.513,2.8016,666.0,20.2,10.29,old,high
7.83932,0.0,18.1,0.0,0.655,6.209,2.9634,666.0,20.2,13.22,old,high
3.1636,0.0,,0.0,,,3.0665,666.0,,14.13,middle-aged,high
3.77498,0.0,,0.0,0.655,5.952,2.8715,666.0,20.2,17.15,old,high
4.42228,0.0,18.1,,0.584,6.003,2.5403,666.0,20.2,21.32,old,
15.5757,0.0,18.1,0.0,0.58,5.926,2.9084,666.0,20.2,18.13,old,high
13.0751,0.0,18.1,0.0,0.58,5.713,2.8237,666.0,,14.76,middle-aged,high
4.34879,0.0,18.1,0.0,0.58,6.167,3.0334,666.0,20.2,16.29,,high
4.03841,0.0,18.1,0.0,0.532,6.229,3.0993,666.0,20.2,12.87,old,high
,0.0,18.1,,0.58,6.437,2.8965,666.0,20.2,14.36,old,high
4.64689,0.0,18.1,0.0,,6.98,2.5329,666.0,20.2,11.66,old,high
8.05579,0.0,18.1,0.0,0.584,5.427,2.4298,666.0,20.2,18.14,old,
6.39312,0.0,18.1,0.0,0.584,6.162,2.206,,20.2,,old,high
4.87141,0.0,18.1,0.0,0.614,6.484,,666.0,20.2,18.68,old,high
15.0234,0.0,18.1,0.0,0.614,5.304,2.1007,666.0,20.2,24.91,old,high
10.233,0.0,18.1,0.0,0.614,6.185,2.1705,666.0,20.2,18.03,old,
14.3337,0.0,18.1,0.0,0.614,6.229,1.9512,666.0,20.2,13.11,old,high
5.82401,0.0,,0.0,0.532,6.242,3.4242,666.0,20.2,10.74,old,
,0.0,18.1,0.0,0.532,6.75,3.3317,666.0,,7.74,old,high
5.73116,0.0,18.1,0.0,0.532,7.061,3.4106,666.0,20.2,7.01,old,high
2.81838,0.0,18.1,0.0,0.532,5.762,4.0983,666.0,20.2,10.42,middle-aged,high
2.37857,0.0,18.1,,0.583,5.871,3.724,666.0,20.2,13.34,middle-aged,high
,0.0,18.1,0.0,,6.312,3.9917,,20.2,10.58,middle-aged,high
5.69175,0.0,18.1,0.0,0.583,6.114,3.5459,666.0,20.2,14.98,old,high
4.83567,0.0,18.1,0.0,0.583,5.905,3.1523,666.0,20.2,,middle-aged,high
0.15086,0.0,27.74,0.0,,5.454,1.8209,711.0,20.1,18.06,old,low
0.18337,0.0,27.74,0.0,0.609,5.414,1.7554,711.0,20.1,23.97,old,low
0.20746,0.0,27.74,0.0,0.609,5.093,1.8226,711.0,20.1,,old,low
0.10574,0.0,27.74,0.0,0.609,5.983,1.8681,711.0,20.1,,,low
,,27.74,0.0,0.609,5.983,2.1099,711.0,20.1,,old,low
0.17331,0.0,9.69,0.0,0.585,5.707,2.3817,391.0,19.2,12.01,middle-aged,medium
0.27957,0.0,9.69,0.0,0.585,5.926,,391.0,19.2,13.59,middle-aged,medium
0.17899,0.0,9.69,0.0,0.585,5.67,,391.0,19.2,17.6,young,medium
0.2896,0.0,9.69,0.0,0.585,,2.7986,391.0,19.2,21.14,,medium
0.26838,0.0,9.69,0.0,0.585,5.794,2.8927,391.0,19.2,14.1,old,
0.23912,0.0,,0.0,0.585,6.019,,391.0,19.2,12.92,old,medium
0.17783,0.0,,0.0,0.585,,2.3999,391.0,19.2,15.1,old,medium
0.22438,0.0,9.69,0.0,0.585,6.027,2.4982,391.0,,14.33,old,medium
0.06263,0.0,11.93,0.0,0.573,6.593,2.4786,273.0,21.0,9.67,old,low
0.04527,0.0,11.93,0.0,0.573,6.12,2.2875,273.0,21.0,9.08,old,low
0.06076,0.0,11.93,0.0,0.573,6.976,2.1675,273.0,21.0,5.64,old,low
0.10959,,11.93,0.0,0.573,6.794,2.3889,273.0,21.0,6.48,old,low
,0.0,11.93,0.0,0.573,6.03,2.505,,,7.88,old,low
